# Header information on force file

1_1
N 2000  R        0.012511       25.022000
  346      4.32880600     -0.17259600      0.16973100
  347      4.34131700     -0.17468400      0.15923500
  348      4.35382800     -0.17658400      0.14866500
  349      4.36633900     -0.17837700      0.13804400
  350      4.37885000     -0.18006600      0.12737400
  351      4.39136100     -0.18155900      0.11660000
  352      4.40387200     -0.18296500      0.10578000
  353      4.41638300     -0.18422200      0.09487800
  354      4.42889400     -0.18532200      0.08389700
  355      4.44140500     -0.18633500      0.07287400
  356      4.45391600     -0.18715100      0.06177100
  357      4.46642700     -0.18785300      0.05063700
  358      4.47893800     -0.18844700      0.03947600
  359      4.49144900     -0.18883600      0.02830000
  360      4.50396000     -0.18913600      0.01713300
  361      4.51647100     -0.18928300      0.00598900
  362      4.52898200     -0.18927000     -0.00509600
  363      4.54149300     -0.18916900     -0.01613900
  364      4.55400400     -0.18887400     -0.02706100
  365      4.56651500     -0.18846700     -0.03788300
  366      4.57902600     -0.18795600     -0.04861400
  367      4.59153700     -0.18724900     -0.05912300
  368      4.60404800     -0.18645800     -0.06952400
  369      4.61655900     -0.18552700     -0.07973400
  370      4.62907000     -0.18445100     -0.08971700
  371      4.64158100     -0.18329400     -0.09957200
  372      4.65409200     -0.18196800     -0.10913500
  373      4.66660300     -0.18054300     -0.11851600
  374      4.67911400     -0.17902900     -0.12773300
  375      4.69162500     -0.17734700     -0.13662700
  376      4.70413600     -0.17559400     -0.14538200
  377      4.71664700     -0.17372600     -0.15390700
  378      4.72915800     -0.17173500     -0.16218700
  379      4.74166900     -0.16967700     -0.17033300
  380      4.75418000     -0.16748000     -0.17820000
  381      4.76669100     -0.16520100     -0.18590000
  382      4.77920200     -0.16285000     -0.19345600
  383      4.79171300     -0.16036100     -0.20073300
  384      4.80422400     -0.15781400     -0.20789400
  385      4.81673500     -0.15517200     -0.21486300
  386      4.82924600     -0.15243000     -0.22162400
  387      4.84175700     -0.14963400     -0.22827100
  388      4.85426800     -0.14672600     -0.23467600
  389      4.86677900     -0.14374900     -0.24092400
