LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.6 on Mon Aug 08 19:28:00 CDT 2022
 512 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 1 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.003735 25.072535  xlo xhi
 -0.194845 24.873955  ylo yhi
 -0.028463 25.040337  zlo zhi

 Masses

 1 18.015400 #water

 Atoms

361 1 1 0.000000 18.941055 10.638549 10.794955 #  UNK
362 1 1 0.000000 13.765227 2.289462 20.234955 #  UNK
363 1 1 0.000000 13.812144 8.664905 10.063877 #  UNK
364 1 1 0.000000 15.965144 1.515843 2.882551 #  UNK
365 1 1 0.000000 0.703660 16.911289 1.375368 #  UNK
366 1 1 0.000000 5.579180 15.692200 20.918673 #  UNK
367 1 1 0.000000 12.398200 23.684023 10.789599 #  UNK
368 1 1 0.000000 21.256710 7.086941 12.605216 #  UNK
369 1 1 0.000000 12.576651 11.458755 7.474237 #  UNK
370 1 1 0.000000 16.613338 16.851933 21.771912 #  UNK
371 1 1 0.000000 3.213368 9.009074 24.877728 #  UNK
372 1 1 0.000000 12.069467 2.477711 23.183701 #  UNK
373 1 1 0.000000 4.083674 8.114739 7.211652 #  UNK
374 1 1 0.000000 21.696533 22.815765 12.228100 #  UNK
375 1 1 0.000000 6.629873 22.054489 11.377150 #  UNK
376 1 1 0.000000 0.440424 16.886238 18.659178 #  UNK
377 1 1 0.000000 2.694566 3.251314 11.132633 #  UNK
378 1 1 0.000000 21.690622 5.325942 19.558384 #  UNK
379 1 1 0.000000 3.633432 6.019783 11.525906 #  UNK
380 1 1 0.000000 5.883903 11.904628 2.091469 #  UNK
381 1 1 0.000000 19.353155 1.564286 13.657478 #  UNK
382 1 1 0.000000 5.637002 3.485277 12.000661 #  UNK
383 1 1 0.000000 10.663122 6.967532 23.523300 #  UNK
384 1 1 0.000000 23.215988 14.216311 16.242695 #  UNK
385 1 1 0.000000 23.240017 8.951969 10.787858 #  UNK
386 1 1 0.000000 19.206745 3.898703 6.268048 #  UNK
387 1 1 0.000000 5.699134 11.293355 14.243883 #  UNK
388 1 1 0.000000 1.254508 24.671047 6.154887 #  UNK
389 1 1 0.000000 13.597594 7.998497 20.305355 #  UNK
390 1 1 0.000000 24.358725 3.011200 8.776690 #  UNK
391 1 1 0.000000 1.483949 21.079535 22.128796 #  UNK
392 1 1 0.000000 16.804977 8.990266 20.439629 #  UNK
393 1 1 0.000000 24.756353 22.326921 9.312124 #  UNK
394 1 1 0.000000 22.338795 24.191410 3.972693 #  UNK
395 1 1 0.000000 3.036814 2.405496 0.563974 #  UNK
396 1 1 0.000000 14.992872 16.927290 0.818128 #  UNK
397 1 1 0.000000 6.733621 21.372746 21.798100 #  UNK
